[2025-09-01 17:02:40] [ERROR] [system] Caught test error: Test error for logging
[2025-09-01 17:25:57] [ERROR] [system] Error generating fake data: property 'full_name' of 'ClientProfile' object has no setter
[2025-09-01 17:28:01] [ERROR] [system] Error generating fake data: 'Transaction' object has no attribute 'location_lat'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Amine Bensalem: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Amina Cherif: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Karim Haddad: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Samira Mecheri: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Sofiane Rahmani: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Nassima Bekhti: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Yacine Belkacem: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Naoual Boudiaf: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Rachid Ferhat: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Lila Haddouch: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Nabil Slimani: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Souad Zerguine: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Mourad Djellal: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Leila Chouikh: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Hakim Benyahia: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Fatiha Guemari: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Mehdi Kaci: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Imene Touati: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Zaki Benrabah: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Kahina Saadi: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Lotfi Cherfaoui: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Hanane Meziane: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Walid Ferhani: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Assia Boukercha: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Adel Djamai: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Naima Bouras: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Hocine Khoda: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Meriem Ziani: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Farid Amrani: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:11:18] [ERROR] [system] Error creating profile for Salima Haddadi: User() got unexpected keyword arguments: 'username'
[2025-09-01 18:12:44] [ERROR] [system] Error generating fake data: non-integer stop for randrange()
