[2025-09-01 00:34:56,622] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-09-01 00:35:17,946] INFO django.utils.autoreload trigger_reload:265 - C:\Users\HP\Desktop\projects\safeNetAi\backend\apps\users\email_service.py changed, reloading.
[2025-09-01 00:35:18,832] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-09-01 00:36:06,637] INFO django.utils.autoreload trigger_reload:265 - C:\Users\HP\Desktop\projects\safeNetAi\backend\apps\transactions\views.py changed, reloading.
[2025-09-01 00:36:07,448] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-09-01 02:51:09,140] INFO django.utils.autoreload run_with_reloader:667 - Watching for file changes with StatReloader
[2025-09-01 03:01:10,708] INFO django.server log_message:213 - "OPTIONS /api/client/profile/me/ HTTP/1.1" 200 0
[2025-09-01 03:01:10,709] INFO django.server log_message:213 - "OPTIONS /api/client/profile/me/ HTTP/1.1" 200 0
[2025-09-01 03:01:10,736] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:01:10,744] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:01:22,263] INFO django.server log_message:213 - "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[2025-09-01 03:01:22,305] WARNING django.request log_response:253 - Bad Request: /api/auth/login/
[2025-09-01 03:01:22,306] WARNING django.server log_message:213 - "POST /api/auth/login/ HTTP/1.1" 400 42
[2025-09-01 03:01:54,634] INFO django.server log_message:213 - "OPTIONS /api/auth/register/ HTTP/1.1" 200 0
[2025-09-01 03:01:54,638] WARNING django.request log_response:253 - Bad Request: /api/auth/register/
[2025-09-01 03:01:54,639] WARNING django.server log_message:213 - "POST /api/auth/register/ HTTP/1.1" 400 50
[2025-09-01 03:02:10,410] INFO django.server log_message:213 - "POST /api/auth/login/ HTTP/1.1" 200 590
[2025-09-01 03:02:10,425] INFO django.server log_message:213 - "OPTIONS /api/client/transactions/ HTTP/1.1" 200 0
[2025-09-01 03:02:10,425] INFO django.server log_message:213 - "OPTIONS /api/client/transactions/ HTTP/1.1" 200 0
[2025-09-01 03:02:10,432] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:02:10,442] INFO django.server log_message:213 - "GET /api/client/transactions/ HTTP/1.1" 200 356
[2025-09-01 03:02:10,444] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:02:10,452] INFO django.server log_message:213 - "GET /api/client/transactions/ HTTP/1.1" 200 356
[2025-09-01 03:02:16,343] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:02:16,345] INFO django.server log_message:213 - "GET /api/client/transactions/ HTTP/1.1" 200 356
[2025-09-01 03:02:39,767] INFO apps.transactions create:41 - Creating transaction for user abassi.loay@gmail.com
[2025-09-01 03:02:39,769] INFO apps.transactions create:48 - Client profile found: loay abassi
[2025-09-01 03:02:39,776] INFO fraud_detection __init__:37 - RiskEngine initialized with 8 thresholds and 0 rules
[2025-09-01 03:02:39,777] INFO fraud_detection calculate_risk_score:55 - Starting risk assessment for transaction 3
[2025-09-01 03:02:39,777] INFO fraud_detection calculate_risk_score:56 - Transaction details: Amount=$7000.00, Type=transfer, Client=loay abassi
[2025-09-01 03:02:39,778] INFO fraud_detection calculate_risk_score:142 - Rule 6 triggered: Unusual time: 2:00
[2025-09-01 03:02:39,779] INFO fraud_detection calculate_risk_score:159 - Risk assessment completed: Score=10, Triggers=1, Requires OTP=False, Decision=Approve
[2025-09-01 03:02:39,779] ERROR apps.transactions create:137 - Error creating transaction: too many values to unpack (expected 3)
[2025-09-01 03:02:39,787] ERROR django.request log_response:253 - Internal Server Error: /api/client/transactions/
[2025-09-01 03:02:39,787] ERROR django.server log_message:213 - "POST /api/client/transactions/ HTTP/1.1" 500 39
[2025-09-01 03:04:10,818] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:10,825] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:13,606] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:13,623] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:14,369] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:14,388] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:15,008] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:15,016] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:23,551] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:23,559] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:26,421] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:26,429] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:34,854] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:34,862] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:36,122] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:36,132] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:36,793] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:36,802] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:37,484] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:37,491] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:38,051] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:38,060] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
[2025-09-01 03:04:38,606] INFO django.server log_message:213 - "GET /api/client/profile/me/ HTTP/1.1" 200 427
